source,target,weight
123286962,163780355,5
123286962,163789022,62
123286962,164050455,32
123286962,164082546,57
123286962,164164821,62
123286962,164551955,10
123286962,164753298,52
123286962,165235881,11
123286962,166294549,91
123286962,166402356,79
123286962,166508487,96
123286962,166819345,113
123286962,167995034,57
123286962,168153480,121
123286962,168418042,100
123286962,169886841,132
123286962,170339422,107
123286962,170870901,68
123286962,171547707,142
123286962,172083212,94
123286962,173507339,127
123286962,173828568,146
123286962,173991664,104
123286962,174385170,107
123286962,175628682,106
123286962,176473856,78
123286962,176622518,108
123286962,177563280,95
123286962,178293394,109
123286962,178926047,95
123286962,180020584,108
123286962,181121949,80
123286962,181372790,116
123286962,181724659,140
123286962,183084981,65
123286962,183785086,66
123286962,184048766,110
123286962,184456373,82
123286962,185324846,105
123286962,185891476,68
123286962,186868990,128
123286962,186970567,111
123286962,187354187,96
123286962,188338592,98
123286962,188609923,117
123286962,189462800,104
123286962,190285985,62
123286962,192691602,136
123286962,194346643,77
123286962,194704949,78
123286962,194912250,92
123286962,195538052,145
123286962,196192960,118
123286962,199794851,87
123286962,201200716,60
123286962,201806682,32
123286962,202747756,103
123286962,203243996,143
123286962,203904790,34
123286962,204001488,115
123286962,205141338,98
123286962,205857661,117
123286962,206037756,9
123286962,206428775,112
123286962,207085704,95
123286962,209348535,68
123286962,210551218,91
123286962,210709821,90
123286962,212282694,108
123286962,212906604,134
123286962,213475511,62
123286962,213909851,117
123286962,215656513,84
123286962,215862585,111
123286962,215931390,138
123286962,216819663,62
123286962,217375412,134
123286962,217832841,90
123286962,219262857,116
123286962,219448811,98
123286962,222006605,133
123286962,222278960,100
123286962,222719400,97
123286962,222729495,136
123286962,222950502,100
123286962,222993159,109
123286962,225669913,121
123286962,225943121,92
123286962,226002742,114
123286962,227656920,69
123286962,228150777,117
123286962,229557458,100
123286962,230387549,92
123286962,231899366,136
123286962,232082335,84
123286962,232441160,120
123286962,232703167,48
123286962,233282882,102
123286962,234471982,110
123286962,234739869,113
123286962,234767386,116
123286962,234884895,99
123286962,234937852,82
123286962,236498511,125
123286962,237207776,100
123286962,237433886,94
123286962,239802296,96
123286962,241301215,106
123286962,241321211,76
123286962,241368688,55
123286962,241781039,100
123286962,243953569,75
123286962,245599307,68
123286962,246988548,100
123286962,248220803,87
123286962,248236729,109
123286962,248700159,103
123286962,249421574,75
123286962,251125983,119
123286962,252118851,141
123286962,254536417,120
123286962,255929552,123
123286962,256505984,108
123286962,258417559,68
123286962,258978396,55
123286962,261003597,60
123286962,261769889,83
123286962,262108465,111
123286962,262832502,124
123286962,263111386,109
123286962,264684961,135
123286962,264921887,121
123286962,267561853,116
123286962,268333835,37
123286962,271272137,105
123286962,273053830,123
123286962,274079088,109
123286962,276330574,87
123286962,278182618,87
123286962,279275691,132
123286962,282299672,135
123286962,286433067,98
123286962,286584769,44
123286962,286644963,123
123286962,287396980,122
123286962,288140558,119
123286962,289068869,103
123286962,290124394,94
123286962,295306927,71
123286962,296044885,136
123286962,301002857,119
123286962,301619864,87
123286962,301854925,109
123286962,305774560,114
123286962,306061823,111
123286962,307912013,56
123286962,308028190,92
123286962,309599766,74
123286962,311706634,117
123286962,316561081,85
123286962,322753838,79
123286962,327570665,106
123286962,329514058,43
123286962,334536593,111
123286962,336315478,71
123286962,339565988,89
123286962,344658318,95
123286962,345264602,57
123286962,345302745,117
123286962,349990659,75
123286962,352090791,108
123286962,353228167,124
123286962,354755220,94
123286962,358236993,95
123286962,358353864,99
123286962,359045907,98
123286962,360689431,91
123286962,366519958,85
123286962,367884489,125
123286962,368301777,71
123286962,376163157,81
123286962,376283322,102
123286962,381054150,84
123286962,382789775,116
123286962,383430201,80
123286962,383806654,90
123286962,384368532,36
123286962,385582358,107
123286962,386555096,100
123286962,390074676,121
123286962,390254162,80
123286962,390394442,92
123286962,396295051,99
123286962,400164598,79
123286962,402447845,103
123286962,407918877,12
123286962,412679109,90
123286962,413161603,17
123286962,413365702,118
123286962,422046220,106
123286962,424467089,87
123286962,426181839,107
123286962,427442080,104
123286962,428375976,67
123286962,429966284,88
123286962,431575801,82
123286962,432453406,68
123286962,435726191,90
123286962,438000573,119
123286962,439609648,110
123286962,440206073,94
123286962,440277086,123
123286962,441070005,118
123286962,442292269,78
123286962,442668149,99
123286962,444594284,99
123286962,446873840,47
123286962,447132284,96
123286962,447923557,87
123286962,452795819,67
123286962,454157792,87
123286962,455490830,90
123286962,461957170,114
123286962,465989340,120
123286962,466433854,99
123286962,466568013,25
123286962,467603452,83
123286962,468886660,88
123286962,469498778,105
123286962,470114518,76
123286962,470593215,115
123286962,475031315,105
123286962,478646557,86
123286962,487887760,88
123286962,488079458,64
123286962,498805948,99
123286962,500393222,89
123286962,503953197,65
123286962,509598306,101
123286962,513576494,101
123286962,513681304,82
123286962,514142105,111
123286962,515701345,104
123286962,516054732,99
123286962,516871748,111
123286962,525781956,66
123286962,529309831,110
123286962,539056266,85
123286962,540261251,65
123286962,542737846,102
123286962,547882721,78
123286962,550781835,94
123286962,581912406,95
123286962,622425254,116
123286962,707074079,110
123286962,713734810,89
25244,220072,56
25244,241044,81
25244,250674,103
25244,278301,117
25244,307685,98
25244,358387,90
25244,385125,16
25244,451958,91
25244,490434,87
25244,515201,106
25244,550393,76
25244,578995,120
25244,654310,113
25244,666436,118
25244,807635,65
25244,848668,115
25244,880518,107
25244,895583,108
25244,939604,100
25244,956852,97
25244,1025204,87
25244,1162306,117
25244,1355949,116
25244,1493725,41
25244,1554549,14
25244,1639442,114
25244,1704386,100
25244,1929132,103
25244,1974229,73
25244,2208815,78
25244,2245876,37
25244,2347118,76
25244,2509691,73
25244,2720714,56
25244,2739036,92
25244,2946860,52
25244,3057581,106
25244,3082139,70
25244,3125825,88
25244,3170996,102
25244,3402139,95
25244,3445658,60
25244,3551884,111
25244,3566164,76
25244,3914635,105
25244,3935619,118
25244,4102414,87
25244,4728372,100
25244,5315496,68
25244,5435544,89
25244,5818622,27
25244,5909740,77
25244,6013145,86
25244,6120703,88
25244,6124562,118
25244,6368853,79
25244,6471245,88
25244,6537374,70
25244,7107877,104
25244,7258903,85
25244,7386595,76
25244,7866383,82
25244,8057165,78
25244,8358725,46
25244,8679384,97
25244,8928644,88
25244,9158973,115
25244,9405579,55
25244,9641698,82
25244,9835023,80
25244,10309746,112
25244,10437899,94
25244,10518385,74
25244,10679171,56
25244,11324974,12
25244,11335169,79
25244,12464328,18
25244,12789838,104
25244,13016094,40
25244,13111268,33
25244,15614267,98
25244,15664822,90
25244,17048914,93
25244,17148957,93
25244,18233990,73
25244,19295034,63
25244,19527481,82
25244,20035220,76
25244,20119828,98
25244,20799205,105
25244,20847375,105
25244,20860636,95
25244,23110383,78
25244,23475292,111
25244,25153016,108
25244,27578194,76
25244,28571706,97
25244,29074901,89
25244,29152006,103
25244,30657250,84
25244,32015730,90
25244,34485997,89
25244,35105028,89
25244,40717912,109
25244,41323999,113
25244,47795185,106
25244,48896524,107
25244,53514759,75
25244,56253945,49
25244,56654439,94
25244,57453426,92
25244,58277206,99
25244,59399511,66
25244,63677967,88
25244,66098142,88
25244,67284155,89
25244,72608525,106
25244,76747292,100
25244,84045725,60
25244,88446514,37
25244,88483927,78
25244,93396188,49
25244,103384147,22
25244,105046520,84
25244,107661810,90
25244,110305573,107
25244,125151268,96
25244,134078767,100
25244,135375343,80
25244,136256485,51
25244,136560781,55
25244,137328307,83
25244,150368378,94
25244,152791599,108
25244,154584279,90
25244,155725151,73
25244,156115845,97
25244,157578352,82
25244,162058080,105
25244,163083474,66
25244,170339422,43
25244,171547707,98
25244,177563280,99
25244,181121949,94
25244,181724659,98
25244,185891476,109
25244,202747756,89
25244,203243996,34
25244,204001488,101
25244,209348535,83
25244,210709821,38
25244,213909851,88
25244,219448811,102
25244,222278960,117
25244,222950502,75
25244,222993159,82
25244,229557458,120
25244,233282882,131
25244,234884895,46
25244,234937852,127
25244,241301215,66
25244,241321211,100
25244,245599307,126
25244,246988548,99
25244,248220803,89
25244,254536417,95
25244,261003597,116
25244,262108465,84
25244,273053830,104
25244,276330574,119
25244,286433067,107
25244,287396980,115
25244,295306927,126
25244,301854925,78
25244,305774560,63
25244,306061823,118
25244,316561081,80
25244,339565988,60
25244,344658318,121
25244,366519958,112
25244,368301777,67
25244,382789775,94
25244,386555096,73
25244,390254162,132
25244,390394442,93
25244,396295051,78
25244,400164598,111
25244,407918877,124
25244,413161603,88
25244,424467089,93
25244,426181839,77
25244,431575801,116
25244,432453406,117
25244,438000573,131
25244,441070005,123
25244,442292269,124
25244,466568013,101
25244,467603452,55
25244,469498778,124
25244,470593215,92
25244,516871748,87
30817,67341,105
30817,220072,130
30817,307685,90
30817,490434,102
30817,515201,119
30817,550393,63
30817,578995,74
30817,654310,117
30817,666436,99
30817,807635,105
30817,902967,93
30817,1025204,118
30817,1355949,106
30817,2208815,107
30817,2245876,96
30817,2347118,95
30817,2447361,89
30817,2739036,129
30817,2758712,110
30817,3067018,114
30817,3170996,114
30817,3402139,120
30817,3445658,109
30817,3482626,119
30817,3508411,113
30817,3551884,111
30817,3566164,128
30817,4728372,67
30817,5435544,105
30817,6120703,102
30817,6368853,97
30817,6471245,86
30817,7386595,86
30817,7641508,114
30817,8928644,119
30817,9835023,101
30817,10518385,61
30817,11210076,100
30817,11335169,134
30817,12164669,68
30817,13016094,102
30817,13111268,91
30817,13248405,120
30817,14189070,115
30817,15614267,120
30817,16543435,89
30817,17048914,118
30817,17148957,123
30817,19295034,120
30817,19527481,109
30817,20035220,124
30817,20428488,124
30817,22340296,108
30817,22471951,91
30817,23110383,128
30817,23475292,134
30817,23759726,69
30817,26612772,111
30817,27113401,110
30817,28461301,120
30817,29074901,132
30817,29152006,100
30817,34485997,62
30817,40717912,111
30817,47795185,94
30817,53514759,114
30817,59399511,90
30817,66098142,126
30817,67284155,88
30817,74690457,108
30817,84045725,126
30817,85406940,119
30817,103384147,122
30817,105046520,114
30817,107661810,111
30817,109507068,77
30817,134078767,94
30817,135551694,107
30817,136560781,106
30817,151963102,102
30817,152255428,50
30817,152791599,58
30817,155725151,127
30817,156115845,97
30817,163083474,124
30817,171547707,108
30817,177563280,43
30817,185891476,88
30817,199794851,136
30817,203243996,45
30817,204001488,112
30817,209348535,67
30817,210709821,93
30817,219448811,88
30817,222278960,137
30817,222950502,139
30817,222993159,57
30817,228150777,144
30817,233282882,80
30817,241321211,122
30817,261003597,150
30817,262108465,105
30817,263111386,105
30817,271272137,67
30817,273053830,118
30817,274079088,77
30817,276330574,123
30817,278182618,144
30817,329514058,84
30817,349990659,56
30817,366519958,122
30817,382789775,130
30817,383806654,140
30817,384368532,102
30817,386555096,129
30817,396295051,62
30817,400164598,95
30817,413365702,149
30817,435726191,134
30817,441070005,111
30817,452795819,126
30817,466568013,149
30817,470593215,127
30817,516871748,129
67341,203251,137
67341,220072,53
67341,241044,130
67341,307685,124
67341,358387,100
67341,385125,147
67341,451958,104
67341,490434,94
67341,515201,148
67341,654310,141
67341,666436,120
67341,780960,141
67341,807635,105
67341,848668,91
67341,880518,109
67341,895583,114
67341,939604,148
67341,1162306,114
67341,1247733,123
67341,1355949,133
67341,1554549,95
67341,1747883,84
67341,1974229,124
67341,2347118,110
67341,2946860,119
67341,2972115,115
67341,3069619,131
67341,3170996,91
67341,3445658,113
67341,3566164,103
67341,4165372,106
67341,4728372,142
67341,5435544,86
67341,5818622,122
67341,5909740,124
67341,6471245,119
67341,7258903,120
67341,7386595,25
67341,7464607,131
67341,7641508,87
67341,8057165,122
67341,8358725,134
67341,9149262,139
67341,9158973,107
67341,9269323,108
67341,9405579,103
67341,9835023,101
67341,9892983,125
67341,10061281,101
67341,10518385,120
67341,10679171,123
67341,12164669,105
67341,13016094,150
67341,13111268,88
67341,14189070,70
67341,15218860,94
67341,15664822,125
67341,16785941,91
67341,17148957,132
67341,19527481,35
67341,20860636,93
67341,23110383,136
67341,25153016,135
67341,27578194,95
67341,28461301,129
67341,30696048,148
67341,32015730,135
67341,32114010,129
67341,40717912,118
67341,56654439,123
67341,60666668,117
67341,67284155,108
67341,76747292,144
67341,103384147,108
67341,134078767,95
67341,134534343,151
67341,136560781,124
67341,137328307,115
67341,152255428,129
67341,152791599,140
